"Libellé";"Nombre de créations d'entreprises - Paris - Données mensuelles brutes";"Codes"
"idBank";"001564260";""
"Période";"";""
"2021-01";"7398";"A"
"2020-12";"7207";"A"
"2020-11";"7510";"A"
"2020-10";"8709";"A"
"2020-09";"8092";"A"
"2020-08";"4953";"A"
"2020-07";"6742";"A"
"2020-06";"6593";"A"
"2020-05";"4552";"A"
"2020-04";"3299";"A"
"2020-03";"5772";"A"
"2020-02";"6031";"A"
"2020-01";"7391";"A"
"2019-12";"6154";"A"
"2019-11";"7180";"A"
"2019-10";"8057";"A"
"2019-09";"6482";"A"
"2019-08";"4415";"A"
"2019-07";"6365";"A"
"2019-06";"5899";"A"
"2019-05";"6007";"A"
"2019-04";"6603";"A"
"2019-03";"6873";"A"
"2019-02";"6659";"A"
"2019-01";"7485";"A"
"2018-12";"5763";"A"
"2018-11";"6357";"A"
"2018-10";"7383";"A"
"2018-09";"5512";"A"
"2018-08";"4341";"A"
"2018-07";"5401";"A"
"2018-06";"5764";"A"
"2018-05";"5386";"A"
"2018-04";"5388";"A"
"2018-03";"6128";"A"
"2018-02";"5768";"A"
"2018-01";"6508";"A"
"2017-12";"5366";"A"
"2017-11";"6973";"A"
"2017-10";"5510";"A"
"2017-09";"4761";"A"
"2017-08";"3700";"A"
"2017-07";"4852";"A"
"2017-06";"5082";"A"
"2017-05";"4689";"A"
"2017-04";"4331";"A"
"2017-03";"6051";"A"
"2017-02";"5236";"A"
"2017-01";"5431";"A"
"2016-12";"5130";"A"
"2016-11";"5269";"A"
"2016-10";"5270";"A"
"2016-09";"5158";"A"
"2016-08";"3545";"A"
"2016-07";"4272";"A"
"2016-06";"5058";"A"
"2016-05";"4680";"A"
"2016-04";"4715";"A"
"2016-03";"5303";"A"
"2016-02";"4920";"A"
"2016-01";"4509";"A"
"2015-12";"4793";"A"
"2015-11";"4505";"A"
"2015-10";"4981";"A"
"2015-09";"4268";"A"
"2015-08";"2794";"A"
"2015-07";"4234";"A"
"2015-06";"4224";"A"
"2015-05";"3280";"A"
"2015-04";"4281";"A"
"2015-03";"4559";"A"
"2015-02";"4345";"A"
"2015-01";"4028";"A"
"2014-12";"4455";"A"
"2014-11";"4017";"A"
"2014-10";"4864";"A"
"2014-09";"4064";"A"
"2014-08";"2649";"A"
"2014-07";"3968";"A"
"2014-06";"3735";"A"
"2014-05";"3535";"A"
"2014-04";"4127";"A"
"2014-03";"4257";"A"
"2014-02";"4255";"A"
"2014-01";"4401";"A"
"2013-12";"3713";"A"
"2013-11";"3714";"A"
"2013-10";"4633";"A"
"2013-09";"3680";"A"
"2013-08";"2494";"A"
"2013-07";"3766";"A"
"2013-06";"3663";"A"
"2013-05";"3321";"A"
"2013-04";"3731";"A"
"2013-03";"4118";"A"
"2013-02";"4157";"A"
"2013-01";"4239";"A"
"2012-12";"3651";"A"
"2012-11";"3883";"A"
"2012-10";"4539";"A"
"2012-09";"3408";"A"
"2012-08";"2960";"A"
"2012-07";"3844";"A"
"2012-06";"3580";"A"
"2012-05";"3229";"A"
"2012-04";"3706";"A"
"2012-03";"4524";"A"
"2012-02";"4332";"A"
"2012-01";"4505";"A"
"2011-12";"4144";"A"
"2011-11";"4227";"A"
"2011-10";"3806";"A"
"2011-09";"3886";"A"
"2011-08";"2728";"A"
"2011-07";"3517";"A"
"2011-06";"3599";"A"
"2011-05";"3769";"A"
"2011-04";"3740";"A"
"2011-03";"4685";"A"
"2011-02";"4494";"A"
"2011-01";"3849";"A"
"2010-12";"4300";"A"
"2010-11";"4369";"A"
"2010-10";"4680";"A"
"2010-09";"3897";"A"
"2010-08";"2900";"A"
"2010-07";"3852";"A"
"2010-06";"4318";"A"
"2010-05";"4145";"A"
"2010-04";"4671";"A"
"2010-03";"5755";"A"
"2010-02";"4552";"A"
"2010-01";"4360";"A"
"2009-12";"4486";"A"
"2009-11";"3707";"A"
"2009-10";"4096";"A"
"2009-09";"3671";"A"
"2009-08";"2693";"A"
"2009-07";"3638";"A"
"2009-06";"3663";"A"
"2009-05";"3688";"A"
"2009-04";"4259";"A"
"2009-03";"4031";"A"
"2009-02";"3378";"A"
"2009-01";"2995";"A"
"2008-12";"2282";"A"
"2008-11";"2126";"A"
"2008-10";"2505";"A"
"2008-09";"1965";"A"
"2008-08";"1664";"A"
"2008-07";"2756";"A"
"2008-06";"2509";"A"
"2008-05";"2240";"A"
"2008-04";"2646";"A"
"2008-03";"2627";"A"
"2008-02";"2828";"A"
"2008-01";"3013";"A"
"2007-12";"2828";"A"
"2007-11";"2068";"A"
"2007-10";"2562";"A"
"2007-09";"1978";"A"
"2007-08";"1803";"A"
"2007-07";"2420";"A"
"2007-06";"2244";"A"
"2007-05";"2049";"A"
"2007-04";"2325";"A"
"2007-03";"2621";"A"
"2007-02";"2518";"A"
"2007-01";"2745";"A"
"2006-12";"2385";"A"
"2006-11";"2083";"A"
"2006-10";"2391";"A"
"2006-09";"1805";"A"
"2006-08";"1613";"A"
"2006-07";"1930";"A"
"2006-06";"2274";"A"
"2006-05";"2229";"A"
"2006-04";"2063";"A"
"2006-03";"2816";"A"
"2006-02";"2495";"A"
"2006-01";"2525";"A"
"2005-12";"2385";"A"
"2005-11";"1969";"A"
"2005-10";"2102";"A"
"2005-09";"2013";"A"
"2005-08";"1631";"A"
"2005-07";"2233";"A"
"2005-06";"2245";"A"
"2005-05";"2033";"A"
"2005-04";"2408";"A"
"2005-03";"2383";"A"
"2005-02";"2394";"A"
"2005-01";"2299";"A"
"2004-12";"2382";"A"
"2004-11";"2123";"A"
"2004-10";"2072";"A"
"2004-09";"1796";"A"
"2004-08";"1527";"A"
"2004-07";"2194";"A"
"2004-06";"2457";"A"
"2004-05";"2042";"A"
"2004-04";"2394";"A"
"2004-03";"3036";"A"
"2004-02";"2406";"A"
"2004-01";"2206";"A"
"2003-12";"2216";"A"
"2003-11";"1874";"A"
"2003-10";"2458";"A"
"2003-09";"1740";"A"
"2003-08";"1266";"A"
"2003-07";"2292";"A"
"2003-06";"1967";"A"
"2003-05";"1670";"A"
"2003-04";"2193";"A"
"2003-03";"2118";"A"
"2003-02";"2149";"A"
"2003-01";"2291";"A"
"2002-12";"1977";"A"
"2002-11";"1796";"A"
"2002-10";"1911";"A"
"2002-09";"1431";"A"
"2002-08";"1517";"A"
"2002-07";"2161";"A"
"2002-06";"1880";"A"
"2002-05";"1641";"A"
"2002-04";"2480";"A"
"2002-03";"1946";"A"
"2002-02";"1976";"A"
"2002-01";"2260";"A"
"2001-12";"1933";"A"
"2001-11";"1756";"A"
"2001-10";"2153";"A"
"2001-09";"1442";"A"
"2001-08";"1586";"A"
"2001-07";"1976";"A"
"2001-06";"1810";"A"
"2001-05";"2062";"A"
"2001-04";"2141";"A"
"2001-03";"2297";"A"
"2001-02";"2242";"A"
"2001-01";"2321";"A"
"2000-12";"1989";"A"
"2000-11";"1912";"A"
"2000-10";"2318";"A"
"2000-09";"1571";"A"
"2000-08";"1929";"A"
"2000-07";"2053";"A"
"2000-06";"1929";"A"
"2000-05";"2337";"A"
"2000-04";"2299";"A"
"2000-03";"2530";"A"
"2000-02";"2169";"A"
"2000-01";"2289";"A"
